ID;Culture;IWAS1;IWAS2;IWAS3;IWAS4;IWAS5;IWAS6;IWAS7;IWAS8;IWAS9;IWAS10;IWAS11;IWAS12;IWAS13;IWAS14;IWAS15;IWAS16;JStress;JSatisf;SEsteem
146;1;4;2;3;3;2;4;3;4;5;4;1;2;1;3;1;5;5;4;6
147;1;3;4;4;3;4;3;4;2;3;4;4;4;4;2;2;2;5;5;5
148;1;3;3;4;2;2;4;2;1;2;3;2;2;1;3;3;3;3;4;5
149;1;3;4;1;3;4;1;1;1;1;3;2;3;4;1;1;1;2;6;1
150;1;1;2;1;1;1;1;1;2;2;2;4;2;3;1;1;1;1;7;8
151;1;3;3;3;3;2;5;3;1;4;3;3;3;3;3;4;4;5;9999;9999
152;1;3;3;4;3;3;2;2;2;2;2;2;3;2;1;2;2;3;6;7
153;1;4;3;3;3;3;4;3;1;3;3;1;3;3;1;1;3;5;5;8
154;1;4;3;2;1;1;2;3;1;1;3;3;4;1;3;2;2;3;4;4
155;1;4;5;1;2;2;3;4;4;4;4;5;5;4;4;4;4;7;2;5
156;1;3;3;2;2;1;2;5;1;4;2;4;1;3;2;3;2;6;2;7
157;1;3;3;3;1;2;1;2;1;1;2;2;3;1;1;1;1;3;4;9
158;1;4;4;1;1;5;3;2;3;4;2;4;4;3;1;1;4;5;1;6
159;1;2;5;2;1;2;3;4;4;4;4;3;4;2;3;2;3;5;5;8
160;1;4;4;4;3;4;3;3;3;3;3;4;3;2;4;3;3;4;4;9
161;1;5;5;3;3;3;3;5;4;5;4;5;4;3;4;4;5;7;3;9
162;1;2;1;1;2;1;1;1;1;1;3;1;4;1;1;1;1;1;7;9
163;1;3;4;1;1;1;3;3;1;2;4;1;2;1;1;2;1;3;4;4
164;1;1;1;3;3;3;4;4;1;2;1;1;3;1;1;4;2;5;1;9
165;1;2;1;2;1;3;1;1;1;4;3;2;5;4;1;2;1;3;7;7
166;1;5;2;1;1;1;1;2;4;2;3;2;3;3;2;1;3;1;7;5
167;1;3;2;2;1;3;1;1;2;1;3;1;2;2;1;2;2;2;7;7
168;1;5;4;1;2;3;3;3;3;4;5;2;5;4;1;5;1;4;6;5
169;1;4;2;2;1;3;2;1;1;2;2;1;2;2;1;1;1;6;6;7
170;1;3;3;1;1;1;1;1;1;1;2;1;1;1;1;1;1;4;5;9
171;1;4;4;4;4;3;3;4;2;3;5;4;4;4;3;4;3;5;3;9
172;1;4;4;1;2;5;3;4;1;2;4;4;4;1;1;1;2;5;5;8
173;1;3;4;4;4;4;5;4;4;4;4;4;4;2;3;3;3;5;5;9999
174;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;7;9
175;1;2;1;1;1;2;1;2;1;1;1;2;1;1;1;1;1;1;7;9
176;1;3;4;4;2;2;3;1;1;2;3;3;3;2;1;1;2;2;6;5
177;1;2;3;2;1;1;2;1;2;2;2;2;3;3;1;3;1;4;3;6
178;1;3;4;3;3;3;3;3;1;2;3;3;3;3;3;4;1;2;7;9
179;1;3;2;1;1;2;2;1;1;1;2;1;3;2;3;1;1;1;7;9
180;1;3;4;2;3;1;4;3;2;3;4;4;3;3;3;3;3;6;4;7
181;1;3;3;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;6;6
182;1;2;4;4;4;2;3;4;1;1;3;3;5;4;2;2;1;2;6;7
